STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061108,65,44
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061109,67,48
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061110,49,41
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061111,43,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061112,45,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061113,44,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061114,47,40
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061115,47,44
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061116,44,38
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061117,43,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061118,45,38
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061119,43,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061120,43,34
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061121,49,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061122,54,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061123,52,38
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061124,60,42
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061125,60,46
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061126,62,52
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061127,62,49
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061128,62,55
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061129,62,41
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061130,42,30
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061201,36,23
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061202,34,19
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061203,20,14
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061204,28,12
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061205,35,13
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061206,38,23
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061207,23,12
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061208,24,9
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061209,38,24
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061210,43,34
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061211,47,39
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061212,51,41
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061213,48,34
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061214,52,40
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061215,47,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061216,56,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061217,56,42
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061218,45,34
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061219,45,29
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061220,41,31
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061221,44,38
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061222,53,42
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061223,42,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061224,46,31
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061225,39,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061226,36,32
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061227,40,31
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061228,48,38
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061229,46,39
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061230,50,40
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20061231,57,41
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070101,45,35
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070102,43,32
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070103,52,35
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070104,49,40
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070105,51,42
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070106,42,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070107,41,34
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070108,40,28
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070109,36,25
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070110,37,22
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070111,47,37
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070112,50,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070113,36,30
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070114,35,33
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070115,34,23
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070116,28,17
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070117,24,14
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070118,32,24
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070119,29,22
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070120,30,10
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070121,31,27
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070122,33,28
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070123,29,25
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070124,29,25
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070125,27,19
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070126,46,22
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070127,37,19
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070128,26,10
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070129,27,13
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070130,21,10
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070131,22,6
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070201,27,15
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070202,15,9
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070203,13,-3
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070204,4,-4
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070205,8,-7
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070206,12,0
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070207,15,2
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070208,15,0
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070209,20,7
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070210,17,3
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070211,29,8
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070212,31,26
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070213,28,20
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070214,24,13
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070215,17,2
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070216,20,1
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070217,30,19
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070218,29,17
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070219,44,17
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070220,45,33
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070221,50,28
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070222,42,32
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070223,33,28
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070224,32,27
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070225,40,32
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070226,33,31
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070227,34,30
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070228,36,31
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070301,47,34
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070302,34,27
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070303,28,23
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070304,33,17
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070305,33,23
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070306,26,16
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070307,30,24
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070308,37,24
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070309,56,31
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070310,54,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070311,54,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070312,64,44
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070313,74,51
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070314,63,35
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070315,37,32
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070316,35,31
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070317,36,29
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070318,44,29
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070319,62,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070320,43,31
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070321,70,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070322,65,43
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070323,46,40
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070324,59,42
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070325,77,41
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070326,78,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070327,75,42
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070328,46,41
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070329,52,43
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070330,49,43
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070331,58,42
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070401,62,49
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070402,64,45
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070403,70,38
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070404,38,30
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070405,41,29
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070406,36,27
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070407,31,21
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070408,40,30
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070409,43,36
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070410,49,33
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070411,42,34
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070412,39,35
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070413,53,34
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070414,44,39
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070415,49,39
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070416,51,41
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070417,55,41
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070418,45,40
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20070419,52,41
